Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,data_name
0.001,0.5,0.0,1000,-1.0,1000,0.0,GraphType.BARABASI_ALBERT
0.002,0.5,0.0,500,-1.0,500,0.0,GraphType.BARABASI_ALBERT
0.52,0.8580016718173995,0.7160033436347992,4,-0.28399665636520094,10,0.6,GraphType.BARABASI_ALBERT
0.0374,0.64321790055012,0.28643580110024014,70,-0.71356419889976,100,0.30000000000000004,GraphType.TREE
0.12,0.5395906230238123,0.07918124604762489,9,-0.9208187539523752,10,0.09999999999999998,GraphType.TREE
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.011363636363636364,0.567029235679399,0.13405847135879778,88,-0.865941528641202,176,0.5,RegularTilling.TRIANGULAR
0.004875,0.6392105488432763,0.27842109768655254,210,-0.7215789023134473,1600,0.86875,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.003663003663003663,0.5549888215698476,0.10997764313969538,273,-0.8900223568603046,546,0.5,RegularTilling.TRIANGULAR
0.000792,0.6123406476986866,0.22468129539737347,1275,-0.7753187046026268,10000,0.8725,RegularTilling.SQUARE_GRID
0.001,0.5,0.0,1000,-1.0,1000,0.0,GraphType.BARABASI_ALBERT
0.002,0.5,0.0,500,-1.0,500,0.0,GraphType.BARABASI_ALBERT
0.52,0.8580016718173995,0.7160033436347992,4,-0.28399665636520094,10,0.6,GraphType.BARABASI_ALBERT
0.0374,0.64321790055012,0.28643580110024014,70,-0.71356419889976,100,0.30000000000000004,GraphType.TREE
0.12,0.5395906230238123,0.07918124604762489,9,-0.9208187539523752,10,0.09999999999999998,GraphType.TREE
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
0.019,0.6692531292930083,0.3385062585860166,55,-0.6614937414139834,400,0.8625,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.08333333333333333,0.6090521459927658,0.2181042919855316,12,-0.7818957080144684,24,0.5,RegularTilling.TRIANGULAR
0.01179904,0.6551795294142729,0.31035905882854553,91,-0.6896409411714541,625,0.8544,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
0.375,0.8231203125901445,0.646240625180289,3,-0.3537593748197109,16,0.8125,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.08333333333333333,0.6090521459927658,0.2181042919855316,12,-0.7818957080144684,24,0.5,RegularTilling.TRIANGULAR
0.2064,0.7548928055590123,0.5097856111180246,6,-0.4902143888819753,25,0.76,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
0.375,0.8231203125901445,0.646240625180289,3,-0.3537593748197109,16,0.8125,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.08333333333333333,0.6090521459927658,0.2181042919855316,12,-0.7818957080144684,24,0.5,RegularTilling.TRIANGULAR
0.2064,0.7548928055590123,0.5097856111180246,6,-0.4902143888819753,25,0.76,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
0.375,0.8231203125901445,0.646240625180289,3,-0.3537593748197109,16,0.8125,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.08333333333333333,0.6090521459927658,0.2181042919855316,12,-0.7818957080144684,24,0.5,RegularTilling.TRIANGULAR
0.2064,0.7548928055590123,0.5097856111180246,6,-0.4902143888819753,25,0.76,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
0.375,0.8231203125901445,0.646240625180289,3,-0.3537593748197109,16,0.8125,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.08333333333333333,0.6090521459927658,0.2181042919855316,12,-0.7818957080144684,24,0.5,RegularTilling.TRIANGULAR
0.2064,0.7548928055590123,0.5097856111180246,6,-0.4902143888819753,25,0.76,RegularTilling.SQUARE_GRID
