perturbation_ratio, Automorphism Ratio (A_r),Number of Unique Groups (C_auto),Automorphism Entropy (H_auto)
0, 0.00048115573008657815,2091,7.641682888438534
0.1, 0.0002420721374969741,4131,8.326270656405299
0.2, 0.0002420721374969741,4131,8.326270656405299
0.3, 0.0002420721374969741,4131,8.326270656405299
0.4, 0.0002420721374969741,4131,8.326270656405299
0.5, 0.0002420721374969741,4131,8.326270656405299
0.6, 0.0002420721374969741,4131,8.326270656405299
0.7, 0.0002420721374969741,4131,8.326270656405299
0.8, 0.0002420721374969741,4131,8.326270656405299
0.9, 0.0002420721374969741,4131,8.326270656405299
