data_name,num_nodes,A_r_norm_1
ogbl-collab,235868,0.1106754231152066
ogbl-ddi,4267,0.2340526325003612
ogbl-ppa,576289,0.0136459676194418
ogbl-citation2,2927963,0.795747481696788
GraphType.COMPLETE,40,1.0
GraphType.COMPLETE,100,1.0
GraphType.BARABASI_ALBERT,10,0.7160033436347992
GraphType.BARABASI_ALBERT,100,0.4262399968184283
GraphType.BARABASI_ALBERT,300,0.0134929832051085
GraphType.BARABASI_ALBERT,500,0.0
GraphType.BARABASI_ALBERT,800,0.0
GraphType.BARABASI_ALBERT,1000,0.0
GraphType.TREE,10,0.0791812460476248
GraphType.TREE,100,0.2864358011002401
GraphType.TREE,100,0.2864358011002401
Pubmed,19717,0.1305821896171042
Cora,2708,0.2286690636579716
Citeseer,3327,0.5437534518250166
Photo,7650,0.2012051649559789
Computers,13752,0.2797093785816953
