alpha_model,num node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
0.1_GCN,4000,AUC,32.5 ± 20.58,32.5,"[100.0, 32.5, 30.0]","[0.0, 20.58, 34.96]",30.00 ± 34.96
0.3_GCN,4000,AUC,67.5 ± 23.72,67.5,"[95.0, 67.5, 32.5]","[10.54, 23.72, 35.45]",32.50 ± 35.45
0.5_GCN,4000,AUC,65.0 ± 17.48,65.0,"[100.0, 65.0, 65.0]","[0.0, 17.48, 21.08]",65.00 ± 21.08
0.7_GCN,4000,AUC,82.5 ± 20.58,82.5,"[100.0, 82.5, 45.0]","[0.0, 20.58, 25.82]",45.00 ± 25.82
0.9_GCN,4000,AUC,100.0 ± 0.0,100.0,"[100.0, 100.0, 80.0]","[0.0, 0.0, 34.96]",80.00 ± 34.96
0.1_GAT,4000,AUC,55.0 ± 32.91,55.0,"[97.5, 55.0, 32.5]","[7.91, 32.91, 35.45]",32.50 ± 35.45
0.3_GAT,4000,AUC,77.5 ± 24.86,77.5,"[97.5, 77.5, 32.5]","[7.91, 24.86, 31.29]",32.50 ± 31.29
0.5_GAT,4000,AUC,62.5 ± 24.3,62.5,"[100.0, 62.5, 52.5]","[0.0, 24.3, 32.17]",52.50 ± 32.17
0.7_GAT,4000,AUC,92.5 ± 16.87,92.5,"[100.0, 92.5, 72.5]","[0.0, 16.87, 29.93]",72.50 ± 29.93
0.9_GAT,4000,AUC,97.5 ± 7.91,97.5,"[100.0, 97.5, 20.0]","[0.0, 7.91, 25.82]",20.00 ± 25.82
0.1_GIN,4000,AUC,66.25 ± 16.72,66.25,"[95.0, 66.25, 80.0]","[15.81, 16.72, 32.91]",80.00 ± 32.91
0.3_GIN,4000,AUC,70.5± 18.45,77.5,"[100.0, 77.5, 35.0]","[0.0, 18.45, 24.15]",35.00 ± 24.15
0.5_GIN,4000,AUC,75.0 ± 11.79,75.0,"[95.0, 75.0, 27.5]","[10.54, 11.79, 27.51]",27.50 ± 27.51
0.7_GIN,4000,AUC,97.5 ± 7.91,97.5,"[100.0, 97.5, 72.5]","[0.0, 7.91, 21.89]",72.50 ± 21.89
0.9_GIN,4000,AUC,97.5 ± 7.91,97.5,"[100.0, 97.5, 75.0]","[0.0, 7.91, 37.27]",75.00 ± 37.27
0.1_SAGE,4000,AUC,47.5 ± 27.51,47.5,"[100.0, 47.5, 20.0]","[0.0, 27.51, 25.82]",20.00 ± 25.82
0.3_SAGE,4000,AUC,75.0 ± 16.67,75.0,"[100.0, 75.0, 60.0]","[0.0, 16.67, 24.15]",60.00 ± 24.15
0.5_SAGE,4000,AUC,80.0 ± 22.97,80.0,"[100.0, 80.0, 60.0]","[0.0, 22.97, 26.87]",60.00 ± 26.87
0.7_SAGE,4000,AUC,87.5 ± 21.25,87.5,"[100.0, 87.5, 70.0]","[0.0, 21.25, 34.96]",70.00 ± 34.96
0.9_SAGE,4000,AUC,95.0 ± 15.81,95.0,"[100.0, 95.0, 45.0]","[0.0, 15.81, 34.96]",45.00 ± 34.96
0.1_MixHopGCN,4000,AUC,75.0 ± 28.87,75.0,"[100.0, 75.0, 62.5]","[0.0, 28.87, 29.46]",62.50 ± 29.46
0.3_MixHopGCN,4000,AUC,80.0 ± 17.48,90.0,"[100.0, 90.0, 52.5]","[0.0, 17.48, 29.93]",52.50 ± 29.93
0.5_MixHopGCN,4000,AUC,80.0 ± 10.54,95.0,"[100.0, 95.0, 50.0]","[0.0, 10.54, 35.36]",50.00 ± 35.36
0.7_MixHopGCN,4000,AUC,82.5 ± 20.58,82.5,"[100.0, 82.5, 45.0]","[0.0, 20.58, 38.73]",45.00 ± 38.73
0.9_MixHopGCN,4000,AUC,95.0 ± 15.81,95.0,"[100.0, 95.0, 12.5]","[0.0, 15.81, 17.68]",12.50 ± 17.68
0.1_ChebGCN,4000,AUC,65.0 ± 29.34,65.0,"[100.0, 65.0, 20.0]","[0.0, 29.34, 32.91]",20.00 ± 32.91
0.3_ChebGCN,4000,AUC,67.5 ± 21.89,77.5,"[100.0, 77.5, 70.0]","[0.0, 21.89, 28.38]",70.00 ± 28.38
0.5_ChebGCN ,4000,AUC,66.25 ± 20.45,66.25,"[100.0, 66.25, 57.5]","[0.0, 20.45, 16.87]",57.50 ± 16.87
0.7_ChebGCN,4000,AUC,67.5 ± 21.89,77.5,"[100.0, 77.5, 70.0]","[0.0, 21.89, 28.38]",70.00 ± 28.38
0.9_ChebGCN,4000,AUC,67.5 ± 26.48,67.5,"[97.5, 67.5, 62.5]","[7.91, 26.48, 33.85]",62.50 ± 33.85
0.1_LINKX,4000,AUC,85.0 ± 15.81,95.0,"[95.0, 95.0, 37.5]","[15.81, 15.81, 33.85]",37.50 ± 33.85
0.3_LINKX,4000,AUC,87.0 ± 22.97,80.0,"[97.5, 80.0, 42.5]","[7.91, 22.97, 26.48]",42.50 ± 26.48
0.5_LINKX,4000,AUC,80.5± 7.91,97.5,"[100.0, 97.5, 37.5]","[0.0, 7.91, 31.73]",37.50 ± 31.73
0.7_LINKX,4000,AUC,90.0 ± 23.57,75.0,"[82.5, 75.0, 47.5]","[23.72, 23.57, 29.93]",47.50 ± 29.93
0.9_LINKX,4000,AUC,87.5 ± 17.68,87.5,"[90.0, 87.5, 62.5]","[21.08, 17.68, 35.84]",62.50 ± 35.84
